Date,CA,FL,NC,NY,PA,TX
4/30/20_y,90.0,49.0,24.0,368.0,98.0,50.0
5/1/20_y,97.0,47.0,21.0,389.0,62.0,34.0
5/2/20_y,57.0,50.0,21.0,441.0,65.0,31.0
5/3/20_y,23.0,15.0,2.0,422.0,24.0,20.0
5/4/20_y,74.0,20.0,7.0,273.0,13.0,17.0
5/5/20_y,94.0,69.0,22.0,324.0,547.0,22.0
5/6/20_y,83.0,67.0,25.0,947.0,93.0,39.0
5/7/20_y,81.0,61.0,30.0,388.0,301.0,26.0
5/8/20_y,87.0,71.0,20.0,285.0,191.0,31.0
5/9/20_y,62.0,46.0,17.0,360.0,83.0,45.0
5/10/20_y,27.0,6.0,3.0,270.0,18.0,39.0
5/11/20_y,61.0,16.0,3.0,239.0,23.0,11.0
5/12/20_y,100.0,44.0,26.0,254.0,75.0,33.0
5/13/20_y,92.0,48.0,20.0,257.0,132.0,26.0
5/14/20_y,80.0,48.0,16.0,244.0,203.0,58.0
5/15/20_y,108.0,42.0,26.0,211.0,50.0,56.0
5/16/20_y,51.0,46.0,11.0,256.0,33.0,33.0
5/17/20_y,32.0,10.0,7.0,215.0,3.0,30.0
5/18/20_y,44.0,23.0,2.0,142.0,287.0,10.0
5/19/20_y,122.0,55.0,30.0,135.0,130.0,22.0
5/20/20_y,89.0,43.0,11.0,184.0,142.0,47.0
5/21/20_y,102.0,50.0,14.0,160.0,103.0,21.0
5/22/20_y,70.0,45.0,11.0,166.0,116.0,39.0
5/23/20_y,68.0,43.0,9.0,131.0,112.0,25.0
5/24/20_y,16.0,4.0,7.0,143.0,28.0,12.0
5/25/20_y,15.0,15.0,10.0,83.0,15.0,8.0
5/26/20_y,57.0,6.0,12.0,109.0,13.0,7.0
5/27/20_y,89.0,60.0,29.0,94.0,113.0,24.0
5/28/20_y,81.0,45.0,0.0,125.0,108.0,38.0
5/29/20_y,81.0,49.0,65.0,118.0,91.0,25.0
5/30/20_y,67.0,35.0,21.0,40.0,72.0,21.0
5/31/20_y,30.0,4.0,0.0,77.0,0.0,24.0
6/1/20_y,0.0,9.0,21.0,164.0,0.0,6.0
6/2/20_y,144.0,70.0,23.0,58.0,130.0,16.0
6/3/20_y,69.0,35.0,18.0,82.0,75.0,35.0
6/4/20_y,68.0,43.0,18.0,107.0,75.0,32.0
6/5/20_y,83.0,53.0,7.0,79.0,68.0,21.0
6/6/20_y,69.0,28.0,25.0,87.0,45.0,28.0
6/7/20_y,28.0,12.0,3.0,64.0,12.0,12.0
6/8/20_y,25.0,11.0,11.0,50.0,10.0,6.0
6/9/20_y,92.0,54.0,23.0,63.0,61.0,19.0
6/10/20_y,105.0,35.0,17.0,81.0,48.0,31.0
6/11/20_y,74.0,47.0,17.0,66.0,51.0,35.0
6/12/20_y,56.0,30.0,28.0,83.0,49.0,17.0
6/13/20_y,71.0,48.0,13.0,62.0,49.0,18.0
6/14/20_y,27.0,6.0,5.0,43.0,4.0,19.0
6/15/20_y,33.0,7.0,9.0,47.0,29.0,7.0
6/16/20_y,82.0,55.0,34.0,38.0,33.0,45.0
6/17/20_y,81.0,25.0,14.0,48.0,43.0,31.0
6/18/20_y,74.0,43.0,8.0,32.0,42.0,41.0
6/19/20_y,66.0,43.0,22.0,94.0,38.0,30.0
6/20/20_y,68.0,40.0,15.0,33.0,20.0,23.0
6/21/20_y,21.0,17.0,8.0,54.0,4.0,16.0
6/22/20_y,58.0,11.0,3.0,37.0,3.0,10.0
6/23/20_y,57.0,64.0,27.0,49.0,38.0,26.0
6/24/20_y,101.0,45.0,20.0,22.0,54.0,27.0
6/25/20_y,81.0,46.0,19.0,34.0,38.0,46.0
6/26/20_y,61.0,39.0,2.0,48.0,23.0,31.0
6/27/20_y,33.0,24.0,26.0,40.0,23.0,39.0
6/28/20_y,32.0,28.0,4.0,28.0,3.0,27.0
6/29/20_y,46.0,28.0,3.0,0.0,9.0,10.0
6/30/20_y,105.0,57.0,16.0,643.0,35.0,21.0
7/1/20_y,79.0,47.0,27.0,11.0,36.0,59.0
7/2/20_y,223.0,67.0,17.0,23.0,27.0,42.0
7/3/20_y,-71.0,67.0,10.0,28.0,34.0,50.0
7/4/20_y,18.0,18.0,7.0,22.0,3.0,33.0
7/5/20_y,6.0,29.0,1.0,38.0,4.0,28.0
7/6/20_y,112.0,47.0,2.0,15.0,1.0,17.0
7/7/20_y,115.0,62.0,22.0,17.0,33.0,61.0
7/8/20_y,147.0,49.0,20.0,20.0,26.0,96.0
7/9/20_y,139.0,120.0,19.0,34.0,36.0,105.0
7/10/20_y,103.0,93.0,17.0,23.0,32.0,95.0
7/11/20_y,74.0,95.0,12.0,17.0,17.0,98.0
7/12/20_y,23.0,45.0,15.0,9.0,7.0,80.0
7/13/20_y,47.0,34.0,7.0,43.0,7.0,43.0
7/14/20_y,141.0,132.0,41.0,15.0,20.0,83.0
7/15/20_y,129.0,112.0,14.0,24.0,26.0,106.0
7/16/20_y,123.0,157.0,0.0,22.0,16.0,123.0
7/17/20_y,54.0,116.0,41.0,13.0,19.0,165.0
7/18/20_y,158.0,102.0,23.0,23.0,15.0,119.0
7/19/20_y,11.0,86.0,5.0,19.0,8.0,61.0
7/20/20_y,60.0,91.0,8.0,12.0,3.0,40.0
7/21/20_y,119.0,133.0,26.0,20.0,20.0,66.0
7/22/20_y,157.0,140.0,30.0,7.0,25.0,120.0
7/23/20_y,154.0,173.0,28.0,39.0,16.0,103.0
7/24/20_y,137.0,135.0,20.0,29.0,22.0,108.0
7/25/20_y,89.0,124.0,32.0,0.0,13.0,90.0
7/26/20_y,22.0,76.0,7.0,12.0,3.0,102.0
7/27/20_y,95.0,78.0,5.0,12.0,4.0,1196.0
7/28/20_y,169.0,0.0,0.0,9.0,0.0,0.0
7/29/20_y,178.0,401.0,71.0,13.0,54.0,443.0
7/30/20_y,116.0,254.0,40.0,19.0,0.0,160.0
7/31/20_y,216.0,257.0,21.0,13.0,14.0,296.0
8/1/20_y,137.0,178.0,40.0,17.0,15.0,268.0
8/2/20_y,32.0,62.0,5.0,14.0,5.0,0.0
8/3/20_y,114.0,74.0,13.0,11.0,0.0,179.0
8/4/20_y,194.0,244.0,28.0,8.0,23.0,245.0
8/5/20_y,167.0,225.0,41.0,5.0,12.0,236.0
8/6/20_y,133.0,121.0,42.0,9.0,38.0,306.0
8/7/20_y,185.0,180.0,42.0,6.0,15.0,292.0
8/8/20_y,99.0,182.0,26.0,9.0,16.0,246.0
8/9/20_y,86.0,77.0,8.0,11.0,1.0,113.0
8/10/20_y,92.0,91.0,4.0,6.0,3.0,31.0
